DB,SMILES,BA_type,alk_mods,ring_mods,delta_mz
BILELIB19,CC(=CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)=CCC(=O)NCCS(=O)(=O)O'],['[*]O'],104.989003716
BILELIB19,COC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)OC'],['[*]O'],14.016199824
BILELIB19,CC(CCC(=O)N(C)CC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N(C)CC(=O)O'],['[*]O'],71.0376635400001
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)C(O)CC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000559000000009746
BILELIB19,CC(CCC(=O)NCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)NCC(=O)O'],['[*]O'],114.043481812
BILELIB19,COC(=O)C=CC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)C=CC(=O)OC'],['[*]O'],12.00054976
BILELIB19,CC(CCC(=O)NCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)NCCS(=O)(=O)O'],['[*]O'],164.026112876
BILELIB19,CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O,is_c27,['[*]C(C)CCCC(C)C(=O)O'],['[*]O'],0.000554571999998643
BILELIB19,CC(CCC(=O)N(C)CCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N(C)CCS(=O)(=O)O'],['[*]O'],121.020299224
BILELIB19,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)NC(CCCCN)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NC(CCCCN)C(=O)O'],['[*]O'],128.095517384
BILELIB19,CC(CCC(=O)N(C)CC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)N(C)CC(=O)O'],['[*]O'],71.0376635400001
BILELIB19,CC(CCC(=O)N(C)CC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N(C)CC(=O)O'],['[*]O'],71.03765892
BILELIB19,COC(=O)C(C)=CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c27,['[*]C(C)CCC=C(C)C(=O)OC'],['[*]O'],12.000554572
BILELIB19,CC(CC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c23,['[*]C(C)CC(=O)O'],['[*]O'],0.000554316000034305
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]O', '[*]OS(=O)(=O)O']",95.95227462
BILELIB19,CC(=CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)=CCC(=O)O'],['[*]O'],-2.01509568399996
BILELIB19,CC(CC(C)(C)C(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CC(C)(C)C(=O)NCC(=O)O'],['[*]O'],85.0533136040001
BILELIB19,CC(CCC(=O)NC(Cc1ccc(O)cc1)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NC(Cc1ccc(O)cc1)C(=O)O'],['[*]O'],163.063882908
BILELIB19,CC(CCC(=O)N(C)CC(O)C(O)C(O)C(O)CO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)N(C)CC(O)C(O)C(O)C(O)CO'],['[*]O'],177.10066234
BILELIB19,CC(CCC(=O)NC(Cc1ccccc1)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NC(Cc1ccccc1)C(=O)O'],['[*]O'],147.068963668
BILELIB19,CC(CCC(=O)NCCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCCC(=O)O'],['[*]O'],71.0376635400001
BILELIB19,CC(CCC(=O)NC(CS(=O)(=O)O)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NC(CS(=O)(=O)O)C(=O)O'],['[*]O'],150.99448302
BILELIB19,CC(CCC(=O)NC(CC(=O)O)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NC(CC(=O)O)C(=O)O'],['[*]O'],115.0274974
BILELIB19,CC(CCC(=O)O)C1CC(O)C2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CC(O)C4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000559000000009746
BILELIB19,CC(=O)NC1C(OC2C=C3CC(OS(=O)(=O)O)CCC3(C)C3CCC4(C)C(C(C)CCC(=O)NCCS(=O)(=O)O)CCC4C23)OC(CO)C(O)C1O,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],"['[*]OC1OC(CO)C(O)C(O)C1NC(C)=O', '[*]OS(=O)(=O)O']",
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],"['[*]O', '[*]OS(=O)(=O)O']",202.95637402
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)C(O)CC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(OS(=O)(=O)O)CC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]OS(=O)(=O)O'],
BILELIB19,COC(=O)CCC(C)C1CC(O)C2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)OC'],['[*]O'],14.016204444
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-2.01510030399999
BILELIB19,COC(=O)C(O)CC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CC(O)C(=O)OC'],['[*]O'],30.011114444
BILELIB19,COC(=O)CCC(C)C1CCC2C3C(OC(C)=O)C(OC(C)=O)C4CC(OC(C)=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)OC'],['[*]OC(C)=O'],
BILELIB19,COC(=O)C(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c27,['[*]C(C)CCCC(CO)C(=O)OC'],['[*]O'],30.011119256
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2(O)C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00465378
BILELIB19,COC(=O)CCC(C)C1CCC2C3CCC4C=CCCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)OC'],['[*]O'],12.00054514
BILELIB19,COC(=O)CCC(C)C1CCC2C3C(OC(C)=O)CC4CC(O)CCC4(C)C3CC(=O)C12C,is_c24,['[*]C(C)CCC(=O)OC'],"['[*]=O', '[*]O', '[*]OC(C)=O']",70.006029064
BILELIB19,CCOC(=O)CCC(C)C1CCC2C3CC(OC(C)=O)C4CC(OC(C)=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)OCC'],['[*]OC(C)=O'],
BILELIB19,CCOC(=O)CCC(C)C1CCC2C3C(OC(C)=O)C(OC(C)=O)C4CC(OC(C)=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)OCC'],['[*]OC(C)=O'],
